depth_m;density_kgm3
49.9;766.57
50;766.57
50.1;766.57
50.2;766.57
50.3;766.57
50.4;765.986
50.5;760.73
50.6;760.73
50.7;760.73
50.8;760.73
50.9;760.73
51;760.73
51.1;760.73
51.2;760.73
51.3;767.015
51.4;773.3
51.5;773.3
51.6;773.3
51.7;773.3
51.8;773.3
51.9;773.3
52;773.3
52.1;773.3
52.2;773.3
52.3;773.3
52.4;773.3
52.5;790.029999999999
52.6;806.76
52.7;806.76
52.8;806.76
52.9;806.76
53;806.76
53.1;806.76
53.2;806.76
53.3;806.76
53.4;817.904
53.5;820.69
53.6;820.69
53.7;820.69
53.8;820.69
53.9;820.69
54;820.69
54.1;820.69
54.2;820.69
54.3;820.69
54.4;820.69
54.5;820.69
54.6;826.71
54.7;829.29
54.8;829.29
54.9;829.29
55;829.29
55.1;829.29
55.2;829.29
55.3;833.45
55.4;837.61
55.5;837.61
55.6;837.61
55.7;837.61
55.8;837.61
55.9;837.61
56;837.61
56.1;837.61
56.2;837.61
56.3;837.61
56.4;837.61
56.5;841.026
56.6;846.15
56.7;846.15
56.8;846.15
56.9;846.15
57;846.15
57.1;846.15
57.2;846.15
57.3;846.15
57.4;846.15
57.5;846.15
57.6;846.15
57.7;846.15
57.8;846.15
57.9;846.15
58;846.15
58.1;846.15
58.2;846.15
58.3;846.15
58.4;846.15
58.5;846.15
58.6;846.15
58.7;846.15
58.8;846.15
58.9;846.15
59;846.15
59.1;846.15
59.2;846.15
59.3;846.15
59.4;846.15
59.5;836.514
59.6;822.06
59.7;822.06
59.8;822.06
59.9;822.06
60;822.06
