0.6m,0.6m,0.3m,0.3m,0.9m,0.9m,1.4m,1.4m,1.8m,1.8m,2.1m,2.1m
22.92396757,0.002661168,27.6763393,0.007996616,19.34834273,0.003186912,10.60363689,0.00399963,22.78619417,0.00279183,22.230238,0.003091629
23.13792155,0.003641199,27.85787601,0.005800372,20.22036728,0.00261392,11.15649869,0.001771594,23.80355615,0.002765599,23.2286899,0.003125965
23.50099497,0.002624911,28.85632791,0.005460825,20.29617382,0.00353361,11.18675481,0.003178169,24.49339565,0.002183211,24.22714181,0.003137411
23.95483674,0.003795975,29.8264147,0.004989895,21.17343501,0.003499479,11.44276812,0.004676963,25.40713042,0.002123932,25.22559371,0.003179377
24.86252029,0.002736822,30.74733531,0.006052171,22.15243655,0.003452792,11.76594336,0.003767141,26.33498472,0.002156869,26.22404562,0.003191585
25.8609722,0.003797428,30.85971517,0.004889101,22.71433589,0.002671249,12.13893265,0.00214333,27.42672632,0.001981426,27.1424078,0.003193515
26.87757777,0.004025191,31.83518029,0.004964858,23.24519324,0.003540606,12.6178692,0.003318057,27.6763393,0.002955047,28.22094943,0.003331982
27.85787601,0.003306802,32.64842807,0.004928403,23.79805504,0.002901236,13.21624213,0.001883012,28.72284504,0.002697906,29.21940133,0.003400655
28.7857303,0.00295598,33.3039773,0.006160584,24.22714181,0.003446143,13.64128241,0.002963241,29.72211837,0.002699467,30.21785323,0.003557075
29.66315773,0.004016809,33.3039773,0.008800972,24.92087138,0.002812162,14.15883659,0.001920664,30.59389356,0.002705763,31.21630514,0.00354563
30.07035466,0.003046324,33.34936148,0.007730828,25.80802399,0.003782735,14.78723289,0.002872386,31.69175843,0.002574932,32.21475704,0.003633378
30.57487543,0.00495209,33.34936148,0.010878311,25.83828011,0.002743816,15.15030631,0.001790669,32.60575919,0.002672258,33.21320895,0.003740201
30.73977128,0.004069081,33.34936148,0.009955049,26.76865575,0.003925871,15.78568479,0.002852293,33.66705072,0.002688007,34.21166085,0.003747831
