weird_dates,height,depth,date
736457.2507,3.431787345,0,'07-May-2016 06:00:59.999'
736457.2924,3.426665288,0,'07-May-2016 07:00:59.999'
736457.334,3.426665288,0,'07-May-2016 08:01:00.000'
736457.3549,3.431787345,0,'07-May-2016 08:30:59.999'
736457.3757,3.431787345,0,'07-May-2016 09:00:59.999'
736457.3965,3.426665288,0,'07-May-2016 09:31:00.000'
736457.4174,3.426665288,0,'07-May-2016 10:00:59.999'
736457.4382,3.431787345,0,'07-May-2016 10:30:59.999'
736457.459,3.426665288,0,'07-May-2016 11:01:00.000'
736457.4799,3.426665288,0,'07-May-2016 11:30:59.999'
736457.5007,3.426665288,0,'07-May-2016 12:00:59.999'
736457.5215,3.426665288,0,'07-May-2016 12:31:00.000'
736457.5424,3.426665288,0,'07-May-2016 13:00:59.999'
736457.5632,3.426665288,0,'07-May-2016 13:30:59.999'
736457.584,3.426665288,0,'07-May-2016 14:01:00.000'
736457.6049,3.426665288,0,'07-May-2016 14:30:59.999'
736457.6257,3.426665288,0,'07-May-2016 15:00:59.999'
736457.6465,3.428004022,0,'07-May-2016 15:31:00.000'
736457.6674,3.428004022,0,'07-May-2016 16:00:59.999'
736457.6882,3.428004022,0,'07-May-2016 16:30:59.999'
736457.709,3.428004022,0,'07-May-2016 17:01:00.000'
736457.7313,3.428004022,0,'07-May-2016 17:33:00.000'
736457.7507,3.429216351,0,'07-May-2016 18:00:59.999'
736457.7715,3.429216351,0,'07-May-2016 18:31:00.000'
736457.7924,3.429216351,0,'07-May-2016 19:00:59.999'
736457.8132,3.429216351,0,'07-May-2016 19:30:59.999'
736457.834,3.429216351,0,'07-May-2016 20:01:00.000'
736457.8563,3.429216351,0,'07-May-2016 20:33:00.000'
736457.8757,3.429216351,0,'07-May-2016 21:00:59.999'
736457.9174,3.429216351,0,'07-May-2016 22:00:59.999'
736457.959,3.429216351,0,'07-May-2016 23:01:00.000'
736458.0021,3.430428576,0,'08-May-2016 00:02:59.999'
736458.0424,3.432853025,0,'08-May-2016 01:00:59.999'
736458.084,3.434065249,0,'08-May-2016 02:01:00.000'
736458.1257,3.435277578,0,'08-May-2016 03:00:59.999'
736458.1688,3.441338805,0,'08-May-2016 04:03:00.000'
736458.209,3.44255103,0,'08-May-2016 05:01:00.000'
736458.2507,3.477885965,0,'08-May-2016 06:00:59.999'
736458.2938,3.477885965,0,'08-May-2016 07:03:00.000'
736458.3354,3.462519794,0,'08-May-2016 08:03:00.000'
736458.3549,3.462519794,0,'08-May-2016 08:30:59.999'
736458.3757,3.462519794,0,'08-May-2016 09:00:59.999'
736458.3965,3.472763908,0,'08-May-2016 09:31:00.000'
736458.4174,3.467641851,0,'08-May-2016 10:00:59.999'
736458.4382,3.483008022,0,'08-May-2016 10:30:59.999'
736458.459,3.452275679,0,'08-May-2016 11:01:00.000'
736458.4799,3.477885965,0,'08-May-2016 11:30:59.999'
736458.5007,3.467641851,0,'08-May-2016 12:00:59.999'
736458.5215,3.462519794,0,'08-May-2016 12:31:00.000'
736458.5424,3.472763908,0,'08-May-2016 13:00:59.999'
736458.5632,3.477885965,0,'08-May-2016 13:30:59.999'
736458.584,3.452275679,0,'08-May-2016 14:01:00.000'
736458.6049,3.462519794,0,'08-May-2016 14:30:59.999'
