depth_m;temperature_degC
"37.2;-16.1600596914338"
"37.3;-16.1593576752433"
"37.4;-16.1586556590528"
"37.5;-16.1579536428623"
"37.6;-16.1572516266718"
"37.7;-16.1565496104813"
"37.8;-16.1558475942908"
"37.9;-16.1551455781003"
"38;-16.1544435619098"
"38.1;-16.1537415457193"
"38.2;-16.1530395295288"
"38.3;-16.1523375133383"
"38.4;-16.1516354971478"
"38.5;-16.1509334809573"
"38.6;-16.1502314647668"
"38.7;-16.1495294485763"
"38.8;-16.1488274323858"
"38.9;-16.1481254161953"
"39;-16.1474234000048"
"39.1;-16.1467213838143"
"39.2;-16.1460193676238"
"39.3;-16.1453173514333"
"39.4;-16.1446153352428"
"39.5;-16.1439133190523"
"39.6;-16.1432113028618"
"39.7;-16.1425092866713"
"39.8;-16.1418072704808"
"39.9;-16.1411052542903"
"40;-16.1404032380998"
"40.1;-16.1397012219093"
"40.2;-16.1389992057188"
"40.3;-16.1382971895283"
"40.4;-16.1375951733378"
"40.5;-16.1368931571473"
"40.6;-16.1361911409568"
"40.7;-16.1354891247663"
"40.8;-16.1347871085758"
"40.9;-16.1340850923853"
"41;-16.1333830761948"
"41.1;-16.1326810600043"
"41.2;-16.1319790438138"
"41.3;-16.1312770276233"
"41.4;-16.1305750114328"
"41.5;-16.1298729952423"
"41.6;-16.1291709790518"
"41.7;-16.1284689628613"
"41.8;-16.1277669466708"
"41.9;-16.1270649304803"
"42;-16.1263629142898"
"42.1;-16.1256608980993"
"42.2;-16.1249588819088"
"42.3;-16.1242568657183"
"42.4;-16.1235548495278"
"42.5;-16.1228528333373"
"42.6;-16.1221508171468"
"42.7;-16.1214488009563"
"42.8;-16.1207467847658"
"42.9;-16.1200447685753"
"43;-16.1193427523848"
"43.1;-16.1186407361944"
"43.2;-16.1179387200039"
"43.3;-16.1172367038134"
"43.4;-16.1165346876229"
"43.5;-16.1158326714324"
"43.6;-16.1151306552419"
"43.7;-16.1144286390514"
"43.8;-16.1137266228609"
"43.9;-16.1130246066704"
"44;-16.1123225904799"
"44.1;-16.1116205742894"
"44.2;-16.1109185580989"
"44.3;-16.1102165419084"
"44.4;-16.1095145257179"
"44.5;-16.1088125095274"
"44.6;-16.1081104933369"
"44.7;-16.1074084771464"
"44.8;-16.1067064609559"
"44.9;-16.1060044447654"
"45;-16.1053024285749"
"45.1;-16.1046004123844"
"45.2;-16.1038983961939"
"45.3;-16.1031963800034"
"45.4;-16.1024943638129"
"45.5;-16.1017923476224"
"45.6;-16.1010903314319"
"45.7;-16.1003883152414"
"45.8;-16.0996862990509"
"45.9;-16.0989842828604"
"46;-16.0982822666699"
"46.1;-16.0975802504794"
"46.2;-16.0968782342889"
"46.3;-16.0961762180984"
"46.4;-16.0954742019079"
"46.5;-16.0947721857174"
"46.6;-16.0940701695269"
"46.7;-16.0933681533364"
"46.8;-16.0926661371459"
"46.9;-16.0919641209554"
"47;-16.0912621047649"
"47.1;-16.0905600885744"
"47.2;-16.0898580723839"
"47.3;-16.0891560561934"
"47.4;-16.0884540400029"
"47.5;-16.0877520238124"
"47.6;-16.0870500076219"
"47.7;-16.0863479914314"
"47.8;-16.0856459752409"
"47.9;-16.0849439590504"
"48;-16.0842419428599"
"48.1;-16.0835399266694"
"48.2;-16.0828379104789"
"48.3;-16.0821358942884"
"48.4;-16.0814338780979"
"48.5;-16.0807318619074"
"48.6;-16.0800298457169"
"48.7;-16.0793278295264"
"48.8;-16.0786258133359"
"48.9;-16.0779237971454"
"49;-16.0772217809549"
"49.1;-16.0765197647644"
"49.2;-16.0758177485739"
"49.3;-16.0751157323834"
"49.4;-16.0744137161929"
"49.5;-16.0737117000024"
"49.6;-16.0730096838119"
"49.7;-16.0723076676214"
"49.8;-16.0716056514309"
"49.9;-16.0709036352404"
"50;-16.0702016190499"
"50.1;-16.0694996028594"
"50.2;-16.0687975866689"
"50.3;-16.0680955704784"
"50.4;-16.0673935542879"
"50.5;-16.0666915380974"
"50.6;-16.0659895219069"
"50.7;-16.0652875057164"
"50.8;-16.0645854895259"
"50.9;-16.0638834733354"
"51;-16.0631814571449"
"51.1;-16.0624794409544"
"51.2;-16.0617774247639"
"51.3;-16.0610754085734"
"51.4;-16.0603733923829"
"51.5;-16.0596713761924"
"51.6;-16.0589693600019"
"51.7;-16.0582673438114"
"51.8;-16.0575653276209"
"51.9;-16.0568633114304"
"52;-16.0561612952399"
"52.1;-16.0554592790494"
"52.2;-16.0547572628589"
"52.3;-16.0540552466684"
"52.4;-16.0533532304779"
"52.5;-16.0526512142874"
"52.6;-16.0519491980969"
"52.7;-16.0512471819064"
"52.8;-16.0505451657159"
"52.9;-16.0498431495254"
"53;-16.0491411333349"
"53.1;-16.0484391171444"
"53.2;-16.0477371009539"
"53.3;-16.0470350847634"
"53.4;-16.0463330685729"
"53.5;-16.0456310523824"
"53.6;-16.0449290361919"
"53.7;-16.0442270200014"
"53.8;-16.0435250038109"
"53.9;-16.0428229876204"
"54;-16.0421209714299"
"54.1;-16.0414189552394"
"54.2;-16.0407169390489"
"54.3;-16.0400149228585"
"54.4;-16.039312906668"
"54.5;-16.0386108904775"
"54.6;-16.037908874287"
"54.7;-16.0372068580965"
"54.8;-16.036504841906"
"54.9;-16.0358028257155"
"55;-16.035100809525"
"55.1;-16.0343987933345"
"55.2;-16.033696777144"
"55.3;-16.0329947609535"
"55.4;-16.032292744763"
"55.5;-16.0315907285725"
"55.6;-16.030888712382"
"55.7;-16.0301866961915"
"55.8;-16.029484680001"
"55.9;-16.0287826638105"
"56;-16.02808064762"
"56.1;-16.0273786314295"
"56.2;-16.026676615239"
"56.3;-16.0259745990485"
"56.4;-16.025272582858"
"56.5;-16.0245705666675"
"56.6;-16.023868550477"
"56.7;-16.0231665342865"
"56.8;-16.022464518096"
"56.9;-16.0217625019055"
"57;-16.021060485715"
"57.1;-16.0203584695245"
"57.2;-16.019656453334"
"57.3;-16.0189544371435"
"57.4;-16.018252420953"
"57.5;-16.0175504047625"
"57.6;-16.016848388572"
"57.7;-16.0161463723815"
"57.8;-16.015444356191"
"57.9;-16.0147423400005"
"58;-16.01404032381"
"58.1;-16.0133383076195"
"58.2;-16.012636291429"
"58.3;-16.0119342752385"
"58.4;-16.011232259048"
"58.5;-16.0105302428575"
"58.6;-16.009828226667"
"58.7;-16.0091262104765"
"58.8;-16.008424194286"
"58.9;-16.0077221780955"
"59;-16.007020161905"
"59.1;-16.0063181457145"
"59.2;-16.005616129524"
"59.3;-16.0049141133335"
"59.4;-16.004212097143"
"59.5;-16.0035100809525"
"59.6;-16.002808064762"
"59.7;-16.0021060485715"
"59.8;-16.001404032381"
"59.9;-16.0007020161905"
"60;-16"
