depth_m;temperature_degC
"37.4;-10.4066369260163"
"37.5;-10.4048376475826"
"37.6;-10.4030383691489"
"37.7;-10.4012390907152"
"37.8;-10.3994398122815"
"37.9;-10.3976405338478"
"38;-10.3958412554141"
"38.1;-10.3940419769804"
"38.2;-10.3922426985467"
"38.3;-10.390443420113"
"38.4;-10.3886441416793"
"38.5;-10.3868448632456"
"38.6;-10.3850455848119"
"38.7;-10.3832463063782"
"38.8;-10.3814470279445"
"38.9;-10.3796477495108"
"39;-10.3778484710771"
"39.1;-10.3760491926434"
"39.2;-10.3742499142097"
"39.3;-10.372450635776"
"39.4;-10.3706513573423"
"39.5;-10.3688520789086"
"39.6;-10.3670528004749"
"39.7;-10.3652535220412"
"39.8;-10.3634542436075"
"39.9;-10.3616549651738"
"40;-10.3598556867401"
"40.1;-10.3580564083064"
"40.2;-10.3562571298727"
"40.3;-10.354457851439"
"40.4;-10.3526585730053"
"40.5;-10.3508592945716"
"40.6;-10.3490600161379"
"40.7;-10.3472607377042"
"40.8;-10.3454614592705"
"40.9;-10.3436621808368"
"41;-10.3418629024031"
"41.1;-10.3400636239694"
"41.2;-10.3382643455357"
"41.3;-10.336465067102"
"41.4;-10.3346657886683"
"41.5;-10.3328665102346"
"41.6;-10.3310672318009"
"41.7;-10.3292679533672"
"41.8;-10.3274686749335"
"41.9;-10.3256693964998"
"42;-10.3238701180661"
"42.1;-10.3220708396324"
"42.2;-10.3202715611987"
"42.3;-10.318472282765"
"42.4;-10.3166730043313"
"42.5;-10.3148737258976"
"42.6;-10.3130744474639"
"42.7;-10.3112751690302"
"42.8;-10.3094758905965"
"42.9;-10.3076766121628"
"43;-10.3058773337291"
"43.1;-10.3040780552954"
"43.2;-10.3022787768617"
"43.3;-10.300479498428"
"43.4;-10.2986802199943"
"43.5;-10.2968809415606"
"43.6;-10.2950816631268"
"43.7;-10.2932823846932"
"43.8;-10.2914831062594"
"43.9;-10.2896838278257"
"44;-10.287884549392"
"44.1;-10.2860852709583"
"44.2;-10.2842859925246"
"44.3;-10.2824867140909"
"44.4;-10.2806874356572"
"44.5;-10.2788881572235"
"44.6;-10.2770888787898"
"44.7;-10.2752896003561"
"44.8;-10.2734903219224"
"44.9;-10.2716910434887"
"45;-10.269891765055"
"45.1;-10.2680924866213"
"45.2;-10.2662932081876"
"45.3;-10.2644939297539"
"45.4;-10.2626946513202"
"45.5;-10.2608953728865"
"45.6;-10.2590960944528"
"45.7;-10.2572968160191"
"45.8;-10.2554975375854"
"45.9;-10.2536982591517"
"46;-10.251898980718"
"46.1;-10.2500997022843"
"46.2;-10.2483004238506"
"46.3;-10.2465011454169"
"46.4;-10.2447018669832"
"46.5;-10.2429025885495"
"46.6;-10.2411033101158"
"46.7;-10.2393040316821"
"46.8;-10.2375047532484"
"46.9;-10.2357054748147"
"47;-10.233906196381"
"47.1;-10.2321069179473"
"47.2;-10.2303076395136"
"47.3;-10.2285083610799"
"47.4;-10.2267090826462"
"47.5;-10.2249098042125"
"47.6;-10.2231105257788"
"47.7;-10.2213112473451"
"47.8;-10.2195119689114"
"47.9;-10.2177126904777"
"48;-10.215913412044"
"48.1;-10.2141141336103"
"48.2;-10.2123148551766"
"48.3;-10.2105155767429"
"48.4;-10.2087162983092"
"48.5;-10.2069170198755"
"48.6;-10.2051177414418"
"48.7;-10.2033184630081"
"48.8;-10.2015191845744"
"48.9;-10.1997199061407"
"49;-10.197920627707"
"49.1;-10.1961213492733"
"49.2;-10.1943220708396"
"49.3;-10.1925227924059"
"49.4;-10.1907235139722"
"49.5;-10.1889242355385"
"49.6;-10.1871249571048"
"49.7;-10.1853256786711"
"49.8;-10.1835264002374"
"49.9;-10.1817271218037"
"50;-10.17992784337"
"50.1;-10.1781285649363"
"50.2;-10.1763292865026"
"50.3;-10.1745300080689"
"50.4;-10.1727307296352"
"50.5;-10.1709314512015"
"50.6;-10.1691321727678"
"50.7;-10.1673328943341"
"50.8;-10.1655336159004"
"50.9;-10.1637343374667"
"51;-10.161935059033"
"51.1;-10.1601357805993"
"51.2;-10.1583365021656"
"51.3;-10.1565372237319"
"51.4;-10.1547379452982"
"51.5;-10.1529386668645"
"51.6;-10.1511393884308"
"51.7;-10.1493401099971"
"51.8;-10.1475408315634"
"51.9;-10.1457415531297"
"52;-10.143942274696"
"52.1;-10.1421429962623"
"52.2;-10.1403437178286"
"52.3;-10.1385444393949"
"52.4;-10.1367451609612"
"52.5;-10.1349458825275"
"52.6;-10.1331466040938"
"52.7;-10.1313473256601"
"52.8;-10.1295480472264"
"52.9;-10.1277487687927"
"53;-10.125949490359"
"53.1;-10.1241502119253"
"53.2;-10.1223509334916"
"53.3;-10.1205516550579"
"53.4;-10.1187523766242"
"53.5;-10.1169530981905"
"53.6;-10.1151538197568"
"53.7;-10.1133545413231"
"53.8;-10.1115552628894"
"53.9;-10.1097559844557"
"54;-10.107956706022"
"54.1;-10.1061574275883"
"54.2;-10.1043581491546"
"54.3;-10.1025588707209"
"54.4;-10.1007595922872"
"54.5;-10.0989603138535"
"54.6;-10.0971610354198"
"54.7;-10.0953617569861"
"54.8;-10.0935624785524"
"54.9;-10.0917632001187"
"55;-10.089963921685"
"55.1;-10.0881646432513"
"55.2;-10.0863653648176"
"55.3;-10.0845660863839"
"55.4;-10.0827668079502"
"55.5;-10.0809675295165"
"55.6;-10.0791682510828"
"55.7;-10.0773689726491"
"55.8;-10.0755696942154"
"55.9;-10.0737704157817"
"56;-10.071971137348"
"56.1;-10.0701718589143"
"56.2;-10.0683725804806"
"56.3;-10.0665733020469"
"56.4;-10.0647740236132"
"56.5;-10.0629747451795"
"56.6;-10.0611754667458"
"56.7;-10.0593761883121"
"56.8;-10.0575769098784"
"56.9;-10.0557776314447"
"57;-10.053978353011"
"57.1;-10.0521790745773"
"57.2;-10.0503797961436"
"57.3;-10.0485805177099"
"57.4;-10.0467812392762"
"57.5;-10.0449819608425"
"57.6;-10.0431826824088"
"57.7;-10.0413834039751"
"57.8;-10.0395841255414"
"57.9;-10.0377848471077"
"58;-10.035985568674"
"58.1;-10.0341862902403"
"58.2;-10.0323870118066"
"58.3;-10.0305877333729"
"58.4;-10.0287884549392"
"58.5;-10.0269891765055"
"58.6;-10.0251898980718"
"58.7;-10.0233906196381"
"58.8;-10.0215913412044"
"58.9;-10.0197920627707"
"59;-10.017992784337"
"59.1;-10.0161935059033"
"59.2;-10.0143942274696"
"59.3;-10.0125949490359"
"59.4;-10.0107956706022"
"59.5;-10.0089963921685"
"59.6;-10.0071971137348"
"59.7;-10.0053978353011"
"59.8;-10.0035985568674"
"59.9;-10.0017992784337"
"60;-10"
