depth_m;density_kgm3
"45.1;720.65"
"45.2;720.65"
"45.3;720.65"
"45.4;720.65"
"45.5;720.65"
"45.6;720.65"
"45.7;720.65"
"45.8;720.65"
"45.9;720.65"
"46;718.55"
"46.1;718.55"
"46.2;718.55"
"46.3;718.55"
"46.4;718.55"
"46.5;718.55"
"46.6;718.55"
"46.7;718.55"
"46.8;718.55"
"46.9;721.22"
"47;723"
"47.1;723"
"47.2;723"
"47.3;723"
"47.4;723"
"47.5;723"
"47.6;723"
"47.7;723"
"47.8;723"
"47.9;723.74499"
"48;730.4499"
"48.1;730.4499"
"48.2;730.4499"
"48.3;730.4499"
"48.4;730.4499"
"48.5;730.4499"
"48.6;730.4499"
"48.7;730.4499"
"48.8;730.4499"
"48.9;730.1299"
"49;730.0499"
"49.1;730.0499"
"49.2;730.0499"
"49.3;730.0499"
"49.4;730.0499"
"49.5;730.0499"
"49.6;730.0499"
"49.7;730.0499"
"49.8;730.0499"
"49.9;732.3249"
"50;734.5999"
"50.1;734.5999"
"50.2;734.5999"
"50.3;734.5999"
"50.4;734.5999"
"50.5;734.5999"
"50.6;734.5999"
"50.7;734.5999"
"50.8;734.5999"
"50.9;734.5999"
"51;741.5"
"51.1;741.5"
"51.2;741.5"
"51.3;741.5"
"51.4;741.5"
"51.5;741.5"
"51.6;741.5"
"51.7;741.5"
"51.8;741.5"
"51.9;741.5"
"52;746.399949999999"
"52.1;751.2999"
"52.2;751.2999"
"52.3;751.2999"
"52.4;751.2999"
"52.5;751.2999"
"52.6;751.2999"
"52.7;751.2999"
"52.8;751.2999"
"52.9;751.2999"
"53;753.4899"
"53.1;754.9499"
"53.2;754.9499"
"53.3;754.9499"
"53.4;754.9499"
"53.5;754.9499"
"53.6;754.9499"
"53.7;754.9499"
"53.8;754.9499"
"53.9;754.9499"
"54;750.98998"
"54.1;750"
"54.2;750"
"54.3;750"
"54.4;750"
"54.5;750"
"54.6;750"
"54.7;750"
"54.8;750"
"54.9;750"
"55;750.44"
"55.1;752.2"
"55.2;752.2"
"55.3;752.2"
"55.4;752.2"
"55.5;752.2"
"55.6;752.2"
"55.7;752.2"
"55.8;752.2"
"55.9;754.465"
"56;759.75"
"56.1;759.75"
"56.2;759.75"
"56.3;759.75"
"56.4;759.75"
"56.5;759.75"
"56.6;759.75"
"56.7;759.75"
"56.8;759.75"
"56.9;759.75"
"57;766.58991"
"57.1;767.3499"
"57.2;767.3499"
"57.3;767.3499"
"57.4;767.3499"
"57.5;767.3499"
"57.6;767.3499"
"57.7;767.3499"
"57.8;767.3499"
"57.9;766.54995"
"58;765.75"
"58.1;765.75"
"58.2;765.75"
"58.3;765.75"
"58.4;765.75"
"58.5;765.75"
"58.6;765.75"
"58.7;765.75"
"58.8;765.75"
"58.9;766.73"
"59;767.15"
"59.1;767.15"
"59.2;767.15"
"59.3;767.15"
"59.4;767.15"
"59.5;767.15"
"59.6;767.15"
"59.7;767.15"
"59.8;767.15"
"59.9;767.15"
"60;777"
